State,Gender,Age,Smoke,SmokingFriends,WorkingParents,SeenSmokerInSchool,SeenSmokerInPublicPlace,SeenSmokerInEnclosedPlace,SeenSmokerInHome,SmokingFather,SmokingMother
Portugal,Female,14 years old,True,1,2,2,3,3,1,False,True
Portugal,Female,14 years old,True,2,3,1,2,2,1,True,False
Portugal,Female,15 years old,True,1,3,2,3,2,1,True,False
Portugal,Male,14 years old,True,2,2,2,3,2,2,True,False
Portugal,Male,15 years old,False,2,1,1,3,3,2,False,False
Portugal,Male,15 years old,False,2,2,1,3,3,2,False,False
Portugal,Male,15 years old,True,1,2,1,2,2,1,True,True
Portugal,Male,15 years old,False,1,2,1,3,3,2,False,True
Portugal,Female,13 years old,True,1,2,2,3,1,1,False,True
Portugal,Female,14 years old,True,2,3,1,3,2,2,False,True
Portugal,Female,14 years old,True,1,2,2,3,2,2,False,True
Portugal,Male,14 years old,False,2,2,1,3,2,1,False,False
Portugal,Male,17 years old or older,True,2,3,2,3,2,2,False,True
Portugal,Female,14 years old,False,1,2,2,3,2,2,False,True
Portugal,Female,14 years old,False,1,2,2,3,2,2,True,True
Portugal,Female,14 years old,False,1,1,2,3,3,2,True,True
Portugal,Male,16 years old,False,2,2,2,3,3,1,False,True
Portugal,Male,12 years old,True,2,2,2,3,3,1,False,True
Portugal,Female,13 years old,True,2,3,2,3,2,2,True,True
Portugal,Male,13 years old,True,1,2,1,3,2,2,False,True
Portugal,Male,16 years old,True,1,1,1,3,2,2,True,True
Portugal,Female,15 years old,False,2,3,1,2,5,1,False,False
Portugal,Female,15 years old,True,2,3,2,2,2,1,False,False
Portugal,Female,15 years old,False,2,3,1,2,2,1,False,False
Portugal,Female,15 years old,False,2,1,2,1,1,5,False,False
Portugal,Female,15 years old,False,2,3,2,4,1,5,True,False
Portugal,Female,15 years old,False,2,3,2,3,3,5,True,False
Portugal,Female,15 years old,False,2,1,1,5,5,1,False,False
Portugal,Female,15 years old,True,3,3,2,5,5,3,True,False
Portugal,Female,15 years old,False,2,3,1,2,2,1,True,False
Portugal,Female,15 years old,False,3,3,2,4,3,5,False,True
Portugal,Female,15 years old,False,2,3,1,3,2,1,False,False
Portugal,Female,17 years old or older,False,2,3,1,3,3,5,True,False
Portugal,Male,14 years old,False,2,3,1,5,5,5,False,True
Portugal,Male,15 years old,False,1,1,1,2,1,3,False,False
Portugal,Male,15 years old,False,2,3,2,1,1,1,False,False
Portugal,Male,15 years old,False,2,3,1,3,2,2,True,False
Portugal,Male,15 years old,False,2,3,2,5,5,2,True,True
Portugal,Male,15 years old,False,3,3,2,5,2,1,False,False
Portugal,Male,13 years old,False,2,3,2,2,2,1,False,False
Portugal,Male,14 years old,False,2,3,2,1,1,1,False,False
Portugal,Male,14 years old,False,1,5,2,1,1,1,False,False
Portugal,Female,13 years old,False,1,3,2,2,2,5,False,True
Portugal,Female,13 years old,False,2,3,2,3,3,2,True,True
Portugal,Female,14 years old,True,2,2,1,1,5,5,False,True
Portugal,Female,14 years old,False,2,3,1,5,5,3,True,True
Portugal,Female,14 years old,False,2,3,1,5,5,1,False,False
Portugal,Female,16 years old,False,2,3,2,3,2,2,True,False
Portugal,Female,14 years old,False,1,1,1,2,1,1,False,False
Portugal,Female,14 years old,False,2,4,1,1,1,5,True,True
Portugal,Female,14 years old,False,2,1,1,2,2,1,True,False
Portugal,Female,15 years old,False,2,3,2,3,3,1,False,False
Portugal,Female,15 years old,False,1,3,2,2,2,1,False,False
Portugal,Female,12 years old,False,1,3,2,5,5,1,False,True
Portugal,Female,12 years old,False,1,1,1,2,1,1,True,True
Portugal,Female,13 years old,False,1,3,1,2,1,2,True,True
Portugal,Female,14 years old,False,1,3,1,1,1,1,False,False
Portugal,Male,14 years old,False,2,3,2,3,3,3,False,False
Portugal,Male,12 years old,False,1,3,1,5,5,5,True,True
Portugal,Male,12 years old,False,1,3,2,2,2,1,False,False
Portugal,Female,12 years old,False,2,3,2,5,2,5,False,True
Portugal,Female,12 years old,False,2,3,1,2,2,1,False,False
Portugal,Female,13 years old,False,2,2,2,1,1,1,True,False
Portugal,Female,14 years old,False,1,3,2,4,3,3,False,False
Portugal,Female,15 years old,False,2,3,2,5,3,1,False,False
Portugal,Female,15 years old,False,2,3,1,5,5,5,True,False
Portugal,Female,14 years old,False,2,1,1,2,2,1,False,False
Portugal,Female,15 years old,False,1,4,1,5,5,5,True,True
Portugal,Female,15 years old,False,1,3,2,1,1,1,False,False
Portugal,Female,15 years old,False,1,3,1,2,3,4,False,False
Portugal,Female,15 years old,False,1,3,1,1,1,1,False,False
