,Smoke,Age,Gender,SmokingFriends,SeenSmokerInSchool,SeenSmokerInPublicPlace,SeenSmokerInEnclosedPlace,SeenSmokerInHome,ParentWarnings,AttractiveSmoker,HardQuitSmoke,SmokerConfidentInCelebrations,SchoolWarnings,SeenHealthWarnings,AntiTobaccoInEvents,AntiTobaccoInMedia,BanTobaccoOutdoors,HarmfulPassiveSmoke,State,SmokingFather,SmokingMother,WorkingFather,WorkingMother
SchoolWarnings,0.018793546898809944,0.03274771187610425,0.042583566297907195,0.03622895457916995,0.045938918891643435,0.047159583603382134,0.04717051478827795,0.03452121713280847,0.11709971297554668,0.05714535261116214,0.03674621610430234,0.04207093557516326,1.0,0.07823396031861853,0.05451249162360268,0.1635566825847943,0.0779912938149347,0.037999678809905894,0.0552107980667396,0.020820763841709073,0.01544393777113073,0.010578354168047263,0.02328103408108196
SeenHealthWarnings,0.23076141260818064,0.10079763065094985,0.02241704023135655,0.11406784521898798,0.11324488345516323,0.15466179435872027,0.11073938099816402,0.11639741831059895,0.08833889947143249,0.06023655659718788,0.055133442963404534,0.0815244106349465,0.07823396031861853,1.0,0.08101003575672251,0.18525352226123137,0.0579153196054324,0.12146855570487042,0.15101858263736084,0.08478024765299255,0.09522967456480345,0.05406399545067501,0.039467331727950694
AntiTobaccoInEvents,0.05349022970343228,0.05233662157964253,0.09577005021729346,0.07275008571962237,0.056992505524786595,0.056708446680855736,0.05373308992048205,0.023669540977986354,0.04310759106586666,0.023049356683148413,0.021758116992503497,0.021212756345975133,0.05451249162360268,0.08101003575672251,1.0,0.20332129880351554,0.05143275342047619,0.029722729728201346,0.07843988784030914,0.02556065086715354,0.024357238567401192,0.028855759634565492,0.02391845905965253
AntiTobaccoInMedia,0.038926184740627874,0.04782434726314816,0.004616451570435259,0.03482712388291731,0.05092499466729895,0.0677092853975446,0.058528072142252044,0.040570540807601106,0.09703127104273467,0.06375858580110341,0.01099679416137204,0.03941203524672974,0.1635566825847943,0.18525352226123137,0.20332129880351554,0.9999999999999999,0.09423193895054048,0.0547694042429992,0.12739276711985775,0.003147349379680429,0.009311420637156058,0.004641543842419818,0.009836068543106376
BanTobaccoOutdoors,0.12783623083421608,0.09569004687713342,0.042158845196550165,0.20458780742761246,0.01610909552683493,0.1605658511662155,0.15361595694677643,0.12488204409960453,0.020005067009466266,0.21120442542271134,0.046439322541194684,0.18806087698571658,0.0779912938149347,0.0579153196054324,0.0514327534204762,0.09423193895054047,1.0,0.13116896302580225,0.25557985566360814,0.0584655604453062,0.04608995224083866,0.00402003318992039,0.03536302426276799
HarmfulPassiveSmoke,0.2426098315036258,0.06442832480188401,0.06428179499246045,0.07558705393347859,0.0378858592209763,0.06914594342742401,0.054136010420566275,0.05154925066437297,0.08043062820797389,0.11346530480102596,0.15363328577821533,0.05907988458471877,0.037999678809905894,0.1214685557048704,0.029722729728201346,0.0547694042429992,0.13116896302580225,1.0,0.0782379901727105,0.04435501051996039,0.04025371383458378,0.0812655932048496,0.07017441887105155
State,0.1128080365177372,0.281609148102913,0.010990000825858803,0.10557845117824921,0.1254696385954634,0.11940721813625788,0.08978321685488068,0.07003670838799629,0.07935338952802631,0.2559440024690505,0.07440975652554906,0.1849871610218195,0.055210798066739605,0.15101858263736084,0.07843988784030914,0.12739276711985775,0.25557985566360814,0.0782379901727105,1.0,0.05932791020946461,0.04997798842651505,0.10356857006074222,0.0815224107987252
SmokingFather,0.05149459801569117,0.047737367156128155,0.009795664671709172,0.12421039286370338,0.02061548162056738,0.17458001983251897,0.16419789862624837,0.46318001040006096,0.00470899380810593,0.049074974071449694,0.026619267961187014,0.03148809668542777,0.020820763841709073,0.08478024765299255,0.02556065086715354,0.003147349379680429,0.0584655604453062,0.044355010519960394,0.05932791020946462,1.0,0.3491092192055947,0.008727796536511305,0.025360693037780366
SmokingMother,0.09093007142368424,0.04900098307437247,0.01619155567758187,0.12536234711834413,0.02625338446688214,0.1705115861127995,0.1749835018277292,0.43415420498195434,0.01379949457824641,0.026167527225689137,0.027628596515217336,0.02688570875573975,0.01544393777113073,0.09522967456480345,0.024357238567401195,0.009311420637156058,0.04608995224083866,0.04025371383458378,0.04997798842651505,0.3491092192055947,1.0,0.05333852547841865,0.006513750905049644
WorkingFather,0.09579966530278396,0.06421014212763322,0.013102944780811792,0.03932427029259804,0.009242624265307368,0.029783984678295006,0.035790401800544616,0.05214144855632105,0.03613776070609968,0.03798328966831135,0.05961312233361299,0.03141970886501264,0.010578354168047263,0.05406399545067501,0.028855759634565492,0.004641543842419818,0.00402003318992039,0.0812655932048496,0.1035685700607422,0.008727796536511305,0.05333852547841864,1.0,0.20703380227043816
WorkingMother,0.06190029358271726,0.05196095147624282,0.007893734018727191,0.022925550367541372,0.0039038072211141513,0.03417436943388247,0.02153997242408037,0.04450607950808856,0.021842113719958714,0.05299790358433272,0.05352125215825809,0.04150524928573233,0.02328103408108196,0.039467331727950694,0.02391845905965253,0.009836068543106376,0.03536302426276799,0.07017441887105155,0.0815224107987252,0.025360693037780366,0.006513750905049643,0.20703380227043813,1.0
